Section,Question,Who Should Answer,Why This Matters,Our Recommendation
Discord Structure,"What should we name the Discord server? (e.g., Lewis HQ, Home Base, The Bridge)",Both,"You'll see this name every day. It should feel like yours, not like a tech project.","Something personal — 'Lewis HQ' or 'Home Base' feel right. Avoid anything that sounds like a work Slack."
Discord Structure,"Do you want separate channels per topic (#shopping, #budget, #tasks, #goals) or fewer combined channels?",Lenale (primarily),"More channels = more organized but can feel overwhelming. Fewer channels = simpler but noisier.","Start with 5-6 focused channels. You can always merge or split later. Too few channels means important things get buried."
Discord Structure,"Should the bot respond in the same channel you message it, or should responses go to a dedicated #bot-responses channel?",Both,"In-channel feels conversational. Separate channel keeps things clean but adds friction to read responses.","In-channel. Conversation should feel natural, not like submitting a ticket."
Discord Structure,"Do you want a private DM channel with the bot for personal things (individual goals, private budget questions)?",Both,"Some things you might not want in shared channels — personal habit check-ins, individual spending, etc.","Yes. The bot should respond to DMs as well as channel messages. Shared stuff in channels, personal stuff in DMs."
Discord Structure,"Should the bot post in #logs every time it takes an action (full transparency)?",Both,"Transparency builds trust — you can always see what the bot did. But it can be noisy.","Yes, but make it a channel you can mute. Transparency matters early on while you're learning to trust the system."
Discord Structure,"What channels should have notifications enabled vs. muted by default?",Lenale (primarily),"Discord notification fatigue is real. If everything pings, nothing matters.","Only #command and #shopping should ping. Everything else (briefs, budget, logs) should be muted by default — check when you want to."
Shopping,"How do you currently manage your shopping list? (Shared note, app, paper, texting each other?)",Both,"Understanding current workflow tells us what friction to eliminate. Don't replace something that works.","Whatever you do now, the bot should be strictly easier. If texting 'add milk' to a Discord channel isn't faster than your current method, we've failed."
Shopping,"Should both of you be able to add items, or does one person usually manage the list?",Both,"Determines whether the bot needs to track who added what and whether both get notifications.","Both should be able to add. The bot should say who added what so there's no confusion."
Shopping,"Do you want the bot to remind you of recurring staples? (e.g., 'You usually buy milk every 10 days — need more?')",Both,"Smart reminders reduce forgotten items but can feel naggy if overdone.","Yes, but only after 3+ purchase cycles of data. Don't guess — learn patterns first, then suggest."
Shopping,"Do you shop at multiple stores? Should items be grouped by store?",Both,"If you split shopping across Costco/grocery/specialty, grouping by store saves time in the aisle.","Support it but don't require it. Simple 'add eggs' should just work without specifying a store."
